TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
we,O,2,been,nsubj,PRP,
've,O,2,been,aux,VBP,' ve
been,O,2,been,ROOT,VBN,
to,O,2,been,prep,IN,
grocery,O,3,to,pobj,NNP,
three,O,6,times,nummod,CD,
times,O,2,been,npadvmod,NNS,
and,O,2,been,cc,CC,
not,O,9,once,neg,RB,
once,O,10,has,advmod,RB,
has,O,2,been,conj,VBZ,
--------------------------------,O,2,been,conj,VBZ,
an,O,12,item,det,DT,
item,O,10,has,dobj,NN,
on,O,12,item,prep,IN,
the,O,15,menu,det,DT,
menu,B-ASP,13,on,pobj,NN,
--------------------------------,O,13,on,pobj,NN,
disappointed,B-OP,10,has,advcl,VBN,
.,O,2,been,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
however,O,6,were,advmod,RB,
",",O,6,were,punct,",",
our,O,5,drinks,poss,PRP$,
$,O,4,14,quantmod,$,
14,O,5,drinks,nummod,CD,
drinks,B-ASP,6,were,nsubj,NNS,
were,O,7,were,aux,VBD,
were,O,7,were,ROOT,VBD,
horrible,B-OP,7,were,acomp,JJ,
!,O,7,were,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,went,nsubj,PRP,
went,O,1,went,ROOT,VBD,
there,O,1,went,advmod,RB,
for,O,1,went,prep,IN,
lunch,B-ASP,3,for,pobj,NN,
--------------------------------,O,3,for,pobj,NN,
and,O,7,was,cc,CC,
it,O,7,was,nsubj,PRP,
was,O,7,was,ROOT,VBD,
not,O,7,was,neg,RB,
as,O,10,good,advmod,RB,
good,B-OP,7,was,acomp,JJ,
as,O,13,expected,mark,IN,
i,O,13,expected,nsubj,PRP,
expected,O,10,good,advcl,VBD,
from,O,13,expected,prep,IN,
the,O,16,reviews,det,DT,
reviews,O,14,from,pobj,NNS,
----------------------------------------------------------------,O,14,from,pobj,NNS,
i,O,18,read,nsubj,PRP,
read,O,16,reviews,relcl,VBP,
.,O,7,was,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
my,O,1,husband,poss,PRP$,
husband,O,2,said,nsubj,NN,
said,O,2,said,ROOT,VBD,
the,O,4,portions,det,DT,
portions,B-ASP,5,were,nsubj,NNS,
--------------------------------,O,5,were,nsubj,NNS,
were,O,2,said,ccomp,VBD,
very,O,7,small,advmod,RB,
small,B-OP,5,were,acomp,JJ,
",",O,2,said,punct,",",
