TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
i,O,1,got,ARG1,PRP,,O
got,O,1,got,ROOT,VBD,,O
one,O,1~6,got~serve,ARG2~ARG1,CD,,O
of,O,_,_,_,_,,O
these,O,2,one,part,DT,,O
to,O,_,_,_,_,,O
serve,O,1,got,ARG3,VB,,O
as,O,_,_,_,_,,O
a,O,_,_,_,DT,,O
second,O,_,_,_,JJ,,O
dvd,O,_,_,_,NN,,O
player,O,12~8~6~9~10,in~a~serve~second~dvd,ARG1~BV~ARG2~ARG1~compound,NN,,O
in,O,_,_,_,IN,,O
my,O,_,_,_,PRP$,,O
house,O,13~12,my~in,poss~ARG2,NN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
apex,O,4,responded,ARG1,NN,,O
has,O,_,_,_,_,,O
still,O,_,_,_,RB,,O
not,O,2~3,still~not,ARG1~ROOT,RB,,O
responded,O,11~3,after~not,ARG1~neg,VBN,,O
to,O,_,_,_,_,,O
my,O,_,_,_,PRP$,,O
email,O,6~4~8,my~responded~describing,poss~ARG2~ARG1,NN,,O
describing,O,_,_,_,VBG,,O
the,O,_,_,_,DT,,O
problem,O,8~9,describing~the,ARG2~BV,NN,,O
after,O,_,_,_,IN,,O
almost,O,_,_,_,_,,O
a,O,_,_,_,DT,,O
week,O,11~13,after~a,ARG2~ARG1,NN,,O
and,O,_,_,_,_,,O
their,O,_,_,_,PRP$,,O
customer,B-ASP,_,_,_,NN,,AT-Secondary
service,I-ASP,17,customer,compound,NN,,AT-Secondary
line,I-ASP,22~18~16,busy~service~their,ARG1~compound~poss,NN,,AT-Head
is,O,_,_,_,_,,O
always,O,_,_,_,RB,,O
busy,B-OP,3~21,not~always,_and_c~ARG1,JJ,,"19###[""OT"", ""ARG1"", ""ASP""]"
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
to,O,0,to,ROOT,TO,,O
keep,O,0,to,ARG2,VB,,O
it,O,1~3,keep~short,ARG2~ARG1,PRP,,O
short,O,1,keep,ARG3,JJ,,O
",",O,_,_,_,_,,O
this,O,1~7,keep~cheaper,ARG1~ARG1,DT,,O
is,O,_,_,_,_,,O
cheaper,O,0,to,ARG1,JJR,,O
",",O,_,_,_,_,,O
and,O,0,to,conj,CC,,O
in,O,9,and,ARG2,IN,,O
my,O,_,_,_,PRP$,,O
opinion,O,11~10,my~in,poss~ARG2,NN,,O
a,O,_,_,_,DT,,O
better,O,_,_,_,JJR,,O
choice,O,10~14~13,in~better~a,ARG1~ARG1~BV,NN,,O
than,O,_,_,_,_,,O
an,O,_,_,_,DT,,O
ipod,O,17~14,an~better,BV~than,NN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,DT,,O
longest,O,0~8,the~was,BV~ARG1,JJS,,O
that,O,_,_,_,_,,O
i,O,6,charged,ARG1,WDT,,O
have,O,_,_,_,_,,O
n't,O,_,_,_,RB,n ' t,O
charged,O,5,n't,neg,VBN,,O
it,O,6,charged,ARG2,PRP,,O
was,O,8,was,ROOT,VBD,,O
maybe,O,_,_,_,_,,O
3,O,_,_,_,CD,,O
days,O,10~8,3~was,ARG1~ARG2,NNS,,O
and,O,_,_,_,_,,O
that,O,15,turning,ARG1,WDT,,O
's,O,_,_,_,_,' s,O
