TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
I,O,1,charge,nsubj,PRP,
charge,O,1,charge,ROOT,VBP,
it,O,1,charge,dobj,PRP,
at,O,1,charge,prep,IN,
night,O,3,at,pobj,NN,
and,O,1,charge,cc,CC,
skip,O,1,charge,conj,VB,
taking,O,6,skip,xcomp,VBG,
the,O,9,cord,det,DT,
cord,B-ASP,7,taking,dobj,NN,
with,O,7,taking,prep,IN,
me,O,10,with,pobj,PRP,
because,O,6,skip,prep,IN,
of,O,12,because,pcomp,IN,
the,O,17,life,det,DT,
good,B-OP,17,life,amod,JJ,
battery,B-ASP,17,life,compound,NN,
life,I-ASP,12,because,pobj,NN,
.,O,1,charge,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,1,bought,nsubj,PRP,
bought,O,1,bought,ROOT,VBD,
a,O,6,laptop,det,DT,
HP,O,5,DV4-1222nr,compound,NNP,
Pavilion,O,5,DV4-1222nr,compound,NNP,
DV4-1222nr,O,6,laptop,compound,NN,d ##v ##4 - 122 ##2 ##nr
laptop,O,1,bought,dobj,NN,
and,O,1,bought,cc,CC,
have,O,9,had,aux,VBP,
had,O,1,bought,conj,VBN,
so,O,11,many,advmod,RB,
many,O,12,problems,amod,JJ,
problems,O,9,had,dobj,NNS,
with,O,12,problems,prep,IN,
the,O,15,computer,det,DT,
computer,O,13,with,pobj,NN,
.,O,1,bought,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,2,guy,det,DT,
tech,O,2,guy,compound,NN,
guy,O,4,said,nsubj,NN,
then,O,4,said,advmod,RB,
said,O,4,said,ROOT,VBD,
the,O,7,center,det,DT,
service,B-ASP,7,center,compound,NN,
center,I-ASP,10,do,nsubj,NN,
does,O,10,do,aux,VBZ,
not,O,10,do,neg,RB,
do,O,4,said,ccomp,VB,
1-to-1,O,12,exchange,nummod,JJ,1 - to - 1
exchange,O,10,do,dobj,NN,
and,O,15,have,cc,CC,
I,O,15,have,nsubj,PRP,
have,O,15,have,ROOT,VBP,
to,O,17,direct,aux,TO,
direct,O,15,have,xcomp,VB,
my,O,19,concern,poss,PRP$,
concern,O,17,direct,dobj,NN,
to,O,17,direct,prep,IN,
the,O,25,team,det,DT,
"""",B-ASP,25,team,punct,``,
sales,I-ASP,25,team,nmod,NNS,
"""",I-ASP,25,team,punct,'',
team,I-ASP,20,to,pobj,NN,
",",O,25,team,punct,",",
which,O,28,is,nsubj,WDT,
is,O,25,team,relcl,VBZ,
the,O,31,shop,det,DT,
retail,O,31,shop,amod,JJ,
shop,O,28,is,attr,NN,
which,O,37,from,pobj,WDT,
I,O,34,bought,nsubj,PRP,
bought,O,31,shop,relcl,VBD,
my,O,36,netbook,poss,PRP$,
netbook,O,34,bought,dobj,NN,net ##book
from,O,34,bought,prep,IN,
.,O,15,have,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,1,investigated,nsubj,PRP,
investigated,O,1,investigated,ROOT,VBD,
