TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
the,O,_,_,_,DT,
title,O,0~2,the~says,BV~ARG1,NN,
says,O,2,says,ROOT,VBZ,
it,O,2,says,ARG2,PRP,
all,O,_,_,_,_,
...,O,_,_,_,.,. . .
_,_,_,_,_,_,_
_,_,_,_,_,_,_
note,O,1~0,:~note,ARG1~ROOT,NN,
:,O,_,_,_,:,
this,O,4~15,add~worth,ARG1~ARG1,DT,
will,O,_,_,_,_,
add,O,_,_,_,VB,
about,O,_,_,_,_,
$,O,4~7,add~30,ARG2~ARG1,$,
30,O,_,_,_,CD,
to,O,_,_,_,_,
the,O,_,_,_,DT,
price,O,4~9~12,add~the~purchase,ARG3~BV~ARG2,NN,
to,O,_,_,_,_,
purchase,O,_,_,_,VB,
",",O,_,_,_,_,
but,O,_,_,_,_,
worth,O,4,add,_but_c,IN,
it,O,15,worth,ARG2,PRP,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1~9,have~loaded,ARG1~ARG1,PRP,
have,O,1,have,ROOT,VBP,
a,O,_,_,_,DT,
large,O,_,_,_,JJ,
collection,O,3~1~2,large~have~a,ARG1~ARG2~BV,NN,
of,O,_,_,_,_,
cds,O,4,collection,ARG1,NNS,
and,O,_,_,_,_,
have,O,_,_,_,_,
loaded,O,15~1,far~have,ARG1~_and_c,VBN,
over,O,_,_,_,_,
100,O,9,loaded,ARG2,CD,
of,O,_,_,_,_,
them,O,11,100,part,PRP,
so,O,_,_,_,RB,
far,O,14,so,comp_so,RB,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
you,O,6~3,got~paid,ARG1~ARG1,PRP,
could,O,1,could,ROOT,MD,
have,O,_,_,_,_,
paid,O,1,could,ARG1,VBN,
more,O,3,paid,ARG2,RBR,
and,O,_,_,_,_,
got,O,3,paid,_and_c,VBD,
a,O,8,lot,mwe,DT,
lot,O,_,_,_,NN,
less,O,8,lot,ARG1,RBR,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
so,O,0,so,ROOT,RB,
yes,O,_,_,_,UH,
",",O,_,_,_,_,
as,O,1,yes,ARG1,RB,
with,O,3,as,ARG2,IN,
all,O,_,_,_,DT,
software,B-ASP,7~5~4,bundled~all~with,ARG2~BV~ARG2,NN,
bundled,O,8,with,ARG1,VBN,
with,O,_,_,_,IN,
creative,O,_,_,_,JJ,
products,O,9~8,creative~with,ARG1~ARG2,NNS,
",",O,_,_,_,_,
it,O,14~16,useless~ugly,ARG1~ARG1,PRP,
was,O,_,_,_,_,
useless,B-OP,3,as,ARG1,JJ,
and,O,_,_,_,_,
ugly,B-OP,14,useless,_and_c,JJ,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
sound,B-ASP,2,exceptional,ARG1,NN,
:,O,_,_,_,_,
exceptional,B-OP,4,though,ARG1,JJ,
",",O,_,_,_,_,
though,O,4,though,ROOT,IN,
i,O,9,compare,ARG1,PRP,
can,O,7,'t,neg,MD,
't,O,4,though,ARG2,VB,' t
really,O,6,can,ARG1,RB,
compare,O,8,really,ARG1,VB,
it,O,9,compare,ARG2,PRP,
to,O,_,_,_,_,
the,O,_,_,_,DT,
ipod,O,12~9,the~compare,BV~ARG3,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
this,O,_,_,_,DT,
phone,O,0~2,this~has,BV~ARG1,NN,
has,O,2,has,ROOT,VBZ,
a,O,_,_,_,DT,
very,O,_,_,_,RB,
cool,B-OP,4,very,ARG1,JJ,
and,O,_,_,_,_,
useful,B-OP,5,cool,_and_c,JJ,
feature,O,5~7~2~3,cool~useful~has~a,ARG1~ARG1~ARG2~BV,NN,
--,O,_,_,_,NNP,- -
the,O,_,_,_,DT,
speakerphone,B-ASP,10,the,BV,NN,speaker ##phone
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,DT,
one,O,_,_,_,CD,
huge,O,_,_,_,JJ,
disappointment,O,0~2~4~1,the~huge~is~one,BV~ARG1~ARG1~ARG1,NN,
is,O,4,is,ROOT,VBZ,
that,O,_,_,_,_,
the,O,_,_,_,DT,
phones,O,11~6~8,lack~the~manufactured,ARG1~BV~ARG2,NNS,
manufactured,O,9,for,ARG1,VBN,
for,O,_,_,_,IN,
t-mobile,O,9,for,ARG2,JJ,t - mobile
lack,B-OP,4,is,ARG2,NN,
many,O,11,lack,ARG2,JJ,
of,O,_,_,_,_,
the,O,_,_,_,DT,
