TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
I,O,2,going,ARG1,PRP,
'm,O,_,_,_,_,' m
going,O,3~2,back~going,loc~ROOT,VBG,
back,O,_,_,_,RB,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
For,O,_,_,_,IN,
the,O,_,_,_,DT,
quality,B-ASP,0~3~1,For~of~the,ARG2~ARG1~BV,NN,
of,I-ASP,_,_,_,IN,
food,I-ASP,3,of,ARG2,NN,
",",O,_,_,_,_,
a,O,7,little,mwe,DT,
little,O,_,_,_,JJ,
too,O,7,little,ARG1,RB,
expensive,B-OP,0~8~9,For~too~expensive,ARG1~comp_too~ROOT,JJ,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,1,was,ARG1,PRP,
was,O,1,was,ROOT,VBD,
the,O,_,_,_,DT,
first,O,_,_,_,JJ,
place,O,2~1~3~6,the~was~first~ate,BV~ARG2~ARG1~ARG2,NN,
we,O,6,ate,ARG1,PRP,
ate,O,7,on,ARG1,VBD,
on,O,_,_,_,IN,
our,O,_,_,_,PRP$,
first,O,_,_,_,JJ,
trip,O,7~9~8~11,on~first~our~to,ARG2~ARG1~poss~ARG1,NN,
to,O,_,_,_,TO,
New,O,_,_,_,NNP,
York,O,11~12,to~New,ARG2~compound,NNP,
",",O,_,_,_,_,
and,O,_,_,_,_,
it,O,18,be,ARG1,PRP,
will,O,_,_,_,_,
be,O,1,was,_and_c,VB,
the,O,_,_,_,DT,
last,O,_,_,_,JJ,
place,B-ASP,18~19~23~20,be~the~stop~last,ARG2~BV~ARG2~ARG1,NN,
we,O,23,stop,ARG1,PRP,
stop,O,24,as,ARG1,VBP,
as,O,_,_,_,IN,
we,O,26,head,ARG1,PRP,
head,O,28~30~24,of~on~as,ARG1~ARG1~ARG2,VBP,
out,O,28,of,mwe,RP,
of,O,_,_,_,IN,
town,O,28,of,ARG2,NN,
on,O,_,_,_,IN,
our,O,_,_,_,PRP$,
next,O,_,_,_,JJ,
trip,O,32~34~30~31,next~to~on~our,ARG1~ARG1~ARG2~poss,NN,
to,O,_,_,_,TO,
New,O,_,_,_,NNP,
York,O,34~35,to~New,ARG2~compound,NNP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,DT,
food,B-ASP,0~3,The~good,BV~ARG1,NN,
was,O,_,_,_,_,
good,B-OP,4,too,ARG1,JJ,
too,O,4,too,ROOT,RB,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
My,O,_,_,_,PRP$,
friend,O,2~0,got~My,ARG1~poss,NN,
got,O,2,got,ROOT,VBD,
the,O,_,_,_,DT,
mushroom,B-ASP,_,_,_,NN,
pizza,I-ASP,2~4~3~7,got~mushroom~the~tasted,ARG2~compound~BV~ARG1,NN,
which,O,_,_,_,_,
tasted,O,8,better,ARG1,VBD,
better,B-OP,_,_,_,JJR,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Our,O,_,_,_,PRP$,
first,O,_,_,_,JJ,
time,O,1~0~3~2,first~Our~in~time,ARG1~poss~ARG1~ROOT,NN,
in,O,_,_,_,IN,
New,O,_,_,_,NNP,
York,O,4~3,New~in,compound~ARG2,NNP,
and,O,_,_,_,_,
we,O,10,try,ARG1,PRP,
had,O,2,time,_and_c,VBD,
to,O,_,_,_,_,
try,O,8,had,ARG1,VB,
a,O,_,_,_,DT,
New,B-ASP,_,_,_,NNP,
York,I-ASP,12,New,compound,NNP,
Bagel,I-ASP,10~11~13,try~a~York,ARG2~BV~compound,NNP,bag ##el
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
But,O,0,But,ROOT,CC,
$,O,2~3~0,500~for~But,ARG1~ARG1~ARG2,$,
500,O,_,_,_,CD,
for,O,_,_,_,IN,
a,O,_,_,_,DT,
dinner,B-ASP,6~4~3,for~a~for,ARG1~BV~ARG2,NN,
for,I-ASP,_,_,_,IN,
two,I-ASP,11~6,include~for,ARG1~ARG2,CD,
that,O,_,_,_,_,
did,O,_,_,_,_,
n't,O,_,_,_,JJ,n ' t
include,O,10,n't,neg,VBP,
Wine,O,11,include,ARG2,NN,
?,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Quite,O,_,_,_,RB,
frankly,O,0,Quite,ARG1,RB,
",",O,_,_,_,_,
this,O,4,is,ARG1,DT,
is,O,1~4,frankly~is,ARG1~ROOT,VBZ,
some,O,4,is,ARG2,DT,
of,O,_,_,_,_,
the,O,_,_,_,DT,
worst,B-OP,_,_,_,JJS,
sushi,B-ASP,8~7~13~5,worst~the~tried~some,ARG1~BV~ARG2~part,NN,su ##shi
I,O,13,tried,ARG1,PRP,
have,O,_,_,_,_,
ever,O,_,_,_,RB,
tried,O,12,ever,ARG1,VBN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Your,O,_,_,_,PRP$,
friends,O,3~0,thank~Your,ARG1~poss,NNS,
will,O,_,_,_,_,
thank,O,5~3,for~thank,ARG1~ROOT,VB,
you,O,3,thank,ARG2,PRP,
for,O,_,_,_,IN,
introducing,O,5,for,ARG2,VBG,
them,O,6,introducing,ARG2,PRP,
to,O,_,_,_,_,
this,O,_,_,_,DT,
gem,O,6~9,introducing~this,ARG3~BV,NN,
!,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Very,O,_,_,_,RB,
cozy,O,0~4~1,Very~inside~cozy,ARG1~loc~ROOT,JJ,
and,O,_,_,_,_,
warm,O,1,cozy,_and_c,JJ,
inside,O,_,_,_,NN,
.....,O,_,_,_,.,. . . . .
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Get,O,0,Get,ROOT,VB,
the,O,_,_,_,DT,
tuna,B-ASP,0~3~1,Get~of~the,ARG2~ARG1~BV,NN,
of,I-ASP,_,_,_,IN,
gari,I-ASP,3,of,ARG2,NN,ga ##ri
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,3,to,ARG1,PRP,
've,O,_,_,_,_,' ve
been,O,_,_,_,_,
to,O,7~3,than~to,ARG1~ROOT,TO,
this,O,_,_,_,DT,
restaurant,O,4~3,this~to,BV~ARG2,NN,
more,O,7,than,mwe,RBR,
than,O,_,_,_,IN,
a,O,_,_,_,DT,
dozen,O,8,a,times,NN,
times,O,7~9,than~dozen,ARG2~ARG1,NNS,
and,O,_,_,_,_,
when,O,3,to,_and_c,WRB,
I,O,15,craving,ARG1,PRP,
'm,O,_,_,_,_,' m
craving,B-OP,12,when,ARG2,VBG,
for,O,_,_,_,_,
Pho,B-ASP,15~25,craving~on,ARG2~ARG1,NNP,ph ##o
",",O,_,_,_,_,
Lemon,B-ASP,_,_,_,NNP,
grass,I-ASP,_,_,_,NN,
chicken,I-ASP,19~17~20,Lemon~Pho~grass,compound~conj~compound,NN,
or,O,_,_,_,_,
Beef,B-ASP,_,_,_,NNP,
Cube,I-ASP,23~21,Beef~chicken,compound~_or_c,NNP,
on,I-ASP,_,_,_,IN,
rice,I-ASP,25,on,ARG2,NN,
",",O,_,_,_,_,
this,O,29,is,ARG1,DT,
is,O,12,when,ARG1,VBZ,
the,O,_,_,_,DT,
place,O,30~29,the~is,BV~ARG2,NN,
to,O,_,_,_,_,
go,O,_,_,_,_,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,DT,
fettucino,B-ASP,_,_,_,NN,fe ##tt ##uc ##ino
alfredo,I-ASP,1~0~4,fettucino~The~amazing,compound~BV~ARG1,NN,
was,O,_,_,_,_,
amazing,B-OP,4,amazing,ROOT,JJ,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,DT,
lava,B-ASP,_,_,_,NN,
cake,I-ASP,1,lava,compound,NN,
dessert,I-ASP,5~2~0,incredible~cake~The,ARG1~compound~BV,NN,
was,O,_,_,_,_,
incredible,B-OP,5,incredible,ROOT,JJ,
and,O,_,_,_,_,
I,O,8,recommend,ARG1,PRP,
recommend,B-OP,5,incredible,_and_c,VBP,
it,O,8,recommend,ARG2,PRP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
We,O,2,go,ARG1,PRP,
will,O,_,_,_,_,
go,O,3~5~2,back~time~go,loc~loc~ROOT,VB,
back,O,_,_,_,RP,
every,O,_,_,_,DT,
time,O,4,every,BV,NN,
we,O,8,in,ARG1,PRP,
are,O,_,_,_,_,
in,O,5,time,loc,IN,
the,O,_,_,_,DT,
City,O,9~8,the~in,BV~ARG2,NNP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Chinese,O,_,_,_,JJ,
