TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
I,O,2,love,ACT-arg,PRP,,O
just,O,2,love,RHEM,RB,,O
love,B-OP,2,love,ROOT,VBP,,OT-W\O-Path
my,O,4,Mac,APP,PRP$,,O
Mac,O,2,love,PAT-arg,NNP,,O
!,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Easy,B-OP,0,Easy,ROOT,JJ,,OT-W\O-Path
to,O,_,_,_,_,,O
install,B-ASP,2,install,ROOT,VB,,AT-Head
also,O,2,install,RHEM,RB,,O
small,B-OP,2,install,PAT-arg,JJ,,"2###[""OT"", ""PAT-arg^-1"", ""ASP""]"
to,O,_,_,_,_,,O
leave,O,2,install,AIM,VB,,O
anywhere,O,6,leave,LOC-arg,RB,,O
at,O,_,_,_,_,,O
your,O,10,bedroom,APP,PRP$,,O
bedroom,O,6,leave,LOC-arg,NN,,O
also,O,6,leave,RHEM,RB,,O
very,O,13,easy,EXT,RB,,O
easy,B-OP,6,leave,EFF-arg,JJ,,"15###[""OT"", ""PAT-arg"", ""ASP""]"
to,O,_,_,_,_,,O
configure,B-ASP,13,easy,PAT-arg,VB,con ##fi ##gur ##e,AT-Head
for,I-ASP,_,_,_,_,,AT-Secondary
ADSl,I-ASP,18,cable,RSTR,NNP,ads ##l,AT-Secondary
cable,I-ASP,19~15,or~configure,DISJ.member~EFF-arg,NN,,AT-Secondary
or,I-ASP,_,_,_,CC,,AT-Secondary
wifi,I-ASP,15~19,configure~or,EFF-arg~DISJ.member,NN,wi ##fi,AT-Secondary
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
His,O,1,was,ACT-arg,PRP$,,O
was,O,1,was,ROOT,VBD,,O
worth,O,1,was,PAT-arg,JJ,,O
$,O,2,worth,PAT-arg,$,,O
36,O,3,$,RSTR,CD,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,1,was,ACT-arg,PRP,,O
was,O,1,was,ROOT,VBD,,O
over,B-OP,3,rated,MANN,RB,,OT-W\O-Path
rated,I-OP,1,was,PAT-arg,VBN,,OT-W\O-Path
!,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
This,O,1,was,ACT-arg,DT,,O
was,O,1,was,ROOT,VBD,,O
the,O,_,_,_,_,,O
same,O,4,problem,RSTR,JJ,,O
problem,O,1,was,PAT-arg,NN,,O
with,O,_,_,_,_,,O
my,O,7,MacBook,APP,PRP$,,O
MacBook,O,4,problem,ACMP,NNP,mac ##book,O
(,O,_,_,_,_,,O
circa,O,4,problem,RSTR,IN,,O
2007,O,4,problem,RSTR,CD,,O
),O,_,_,_,_,,O
that,O,15,retired,PAT-arg,IN,,O
I,O,15,retired,ACT-arg,PRP,,O
just,O,15,retired,TWHEN,RB,,O
retired,O,4,problem,RSTR,VBD,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
pros,O,1~0,:~pros,APPS.member~ROOT,NNS,pro ##s,O
:,O,_,_,_,:,,O
the,O,_,_,_,_,,O
macbook,O,5,notebook,RSTR,NN,mac ##book,O
pro,O,5,notebook,RSTR,JJ,,O
notebook,O,6,has,ACT-arg,NN,,O
has,O,11~6,and~has,CONJ.member~ROOT,VBZ,,O
a,O,_,_,_,_,,O
large,B-OP,10,life,RSTR,JJ,,"10###[""OT"", ""RSTR^-1"", ""ASP""]"
battery,B-ASP,10,life,RSTR,NN,,AT-Secondary
life,I-ASP,6,has,PAT-arg,NN,,AT-Head
and,O,1,:,APPS.member,CC,,O
you,O,16~18,worry~charge,ACT-arg~ACT-arg,PRP,,O
wont,O,16,worry,RHEM,RB,won ##t,O
have,O,_,_,_,_,,O
to,O,_,_,_,_,,O
worry,O,11~16,and~worry,CONJ.member~ROOT,VB,,O
to,O,_,_,_,_,,O
charge,O,16,worry,PAT-arg,VB,,O
your,O,20,laptop,APP,PRP$,,O
laptop,O,18,charge,PAT-arg,NN,,O
every,O,23,hours,RSTR,DT,,O
five,O,23,hours,RSTR,CD,,O
hours,O,18~24,charge~or,THO~DISJ.member,NNS,,O
or,O,_,_,_,CC,,O
so,O,18~24,charge~or,THL~DISJ.member,RB,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,2,be,ACT-arg,PRP,,O
would,O,_,_,_,_,,O
be,O,2,be,ROOT,VB,,O
a,O,_,_,_,_,,O
load,O,2,be,PAT-arg,NN,,O
on,O,_,_,_,_,,O
long,O,7,trips,RSTR,JJ,,O
trips,O,4,load,TWHEN,NNS,,O
where,O,14,required,LOC,WRB,,O
a,O,_,_,_,_,,O
lot,O,14,required,PAT-arg,NN,,O
of,O,_,_,_,_,,O
walking,O,10,lot,MAT,NN,,O
is,O,_,_,_,_,,O
required,O,7,trips,RSTR,VBN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,2~7,like~needed,ACT-arg~ACT-arg,PRP,,O
personally,O,2~7,like~needed,MANN~MANN,RB,,O
like,B-OP,6~2,but~like,ADVS.member~ROOT,VBP,,"5###[""OT"", ""PAT-arg"", ""ASP""]"
the,O,_,_,_,_,,O
gaming,B-ASP,5,look,RSTR,NN,,AT-Secondary
look,I-ASP,2,like,PAT-arg,NN,,AT-Head
but,O,_,_,_,CC,,O
needed,O,6~7,but~needed,ADVS.member~ROOT,VBD,,O
a,O,_,_,_,_,,O
machine,O,7,needed,PAT-arg,NN,,O
that,O,16~11,looking~delivered,ACT-arg~ACT-arg,WDT,,O
delivered,O,9,machine,RSTR,VBD,,O
gaming,B-ASP,13,performance,REG,NN,,AT-W\O-Path
performance,I-ASP,11,delivered,PAT-arg,NN,,AT-W\O-Path
while,O,_,_,_,_,,O
still,O,16,looking,THL,RB,,O
looking,O,11,delivered,CONTRD,VBG,,O
professional,B-OP,16,looking,PAT-arg,JJ,,OT-W\O-Path
in,O,_,_,_,_,,O
front,O,16,looking,SM,NN,,O
of,O,_,_,_,_,,O
my,O,22,customers,APP,PRP$,,O
customers,O,19,front,LOC,NNS,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,_,,O
headphone,B-ASP,5~2,are~and,ACT-arg~CONJ.member,NN,head ##phone,AT-W\O-Path
and,O,_,_,_,CC,,O
mic,B-ASP,4,jack,RSTR,NN,,AT-W\O-Path
jack,I-ASP,5~2,are~and,ACT-arg~CONJ.member,NN,,AT-W\O-Path
are,O,19~5,",~are",CONJ.member~ROOT,VBP,,O
in,O,_,_,_,_,,O
front,O,_,_,_,_,,O
of,O,_,_,_,_,,O
touch-pad,B-ASP,5,are,LOC-arg,NN,touch - pad,AT-W\O-Path
making,O,5,are,COMPL,VBG,,O
the,O,_,_,_,_,,O
touch-pad,B-ASP,10~15,making~use,PAT-arg~PAT-arg,NN,touch - pad,AT-Head
hard,B-OP,10,making,EFF-arg,JJ,,"12###[""OT"", ""EFF-arg^-1"", ""*"", ""PAT-arg"", ""ASP""]"
to,O,_,_,_,_,,O
use,O,10,making,PAT-arg,VB,,O
when,O,_,_,_,_,,O
using,O,15,use,COND,VBG,,O
headphones/mic,B-ASP,17,using,PAT-arg,JJ,head ##phones / mic,O
",",I-ASP,_,_,_,",",,O
not,I-ASP,22,mention,RHEM,RB,,O
to,I-ASP,_,_,_,_,,O
mention,I-ASP,19~22,",~mention",CONJ.member~ROOT,VB,,O
the,I-ASP,_,_,_,_,,O
laptop,I-ASP,26,designed,PAT-arg,NN,,O
was,I-ASP,_,_,_,_,,O
designed,I-ASP,22,mention,PAT-arg,VBN,,O
for,I-ASP,_,_,_,_,,O
right,I-ASP,29,handed,RSTR,JJ,,O
handed,I-ASP,30,person,RSTR,JJ,,O
person,I-ASP,26,designed,ADDR-arg,NN,,O
.,I-ASP,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
"""",O,_,_,_,_,,O
Then,O,3,proceed,TWHEN,RB,,O
I,O,3~5,proceed~tell,ACT-arg~ACT-arg,PRP,,O
proceed,O,3,proceed,ROOT,VBP,,O
