TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
This,O,_,_,_,DT,,O
computer,O,0~2,This~does,BV~ARG1,NN,,O
does,O,2,does,ROOT,VBZ,,O
everything,O,2~8,does~do,ARG2~ARG2,NN,,O
i,O,5,need,ARG1,PRP,,O
need,O,_,_,_,VBP,,O
it,O,8,do,ARG1,PRP,,O
to,O,_,_,_,_,,O
do,O,9~5,for~need,ARG1~ARG2,VB,,O
for,O,_,_,_,IN,,O
school,O,9,for,ARG2,NN,,O
and,O,_,_,_,_,,O
more,O,10,school,_and_c,JJR,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,1,bluescreened,ARG1,PRP,,O
bluescreened,O,4~8~2,without~running~on,ARG1~subord~ARG1,VBD,blues ##creen ##ed,O
on,O,_,_,_,IN,,O
me,O,2,on,ARG2,PRP,,O
without,O,_,_,_,IN,,O
any,O,_,_,_,DT,,O
warning,O,4~5,without~any,ARG2~BV,NN,,O
",",O,_,_,_,_,,O
running,O,9~8,simply~running,ARG1~ROOT,VBG,,O
simply,O,_,_,_,RB,,O
basic,O,_,_,_,JJ,,O
Chrome,B-ASP,10~8,basic~running,ARG1~ARG2,NNP,,AT-W\O-Path
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Since,O,0,Since,ROOT,IN,,O
I,O,2,keyboard,ARG1,PRP,,O
keyboard,O,3~0,over~Since,ARG1~ARG2,VBP,,O
over,O,_,_,_,IN,,O
100,O,_,_,_,CD,,O
wpm,O,3~4,over~100,ARG2~ARG1,NN,w ##pm,O
",",O,_,_,_,_,,O
I,O,8,look,ARG1,PRP,,O
look,O,0,Since,ARG1,VBP,,O
for,O,_,_,_,_,,O
a,O,_,_,_,DT,,O
unit,O,10~8~13,a~look~has,BV~ARG2~ARG1,NN,,O
that,O,_,_,_,_,,O
has,O,_,_,_,VBZ,,O
a,O,_,_,_,DT,,O
comfortble,O,_,_,_,JJ,comfort ##ble,O
keyboard,B-ASP,15~13~19~14,comfortble~has~keys~a,ARG1~ARG2~appos~BV,NN,,AT-W\O-Path
(,O,_,_,_,_,,O
no,B-OP,_,_,_,DT,,"19###[""OT"", ""BV"", ""ASP""]"
keys,B-ASP,18~20~22,no~sticking~lagging,BV~ARG1~ARG1,NNS,,AT-Head
sticking,O,_,_,_,VBG,,O
or,O,_,_,_,_,,O
lagging,O,20,sticking,_or_c,VBG,la ##gging,O
",",O,_,_,_,_,,O
strange,B-OP,_,_,_,JJ,,"25###[""OT"", ""ARG1"", ""ASP""]"
configuration,B-ASP,20~24,sticking~strange,conj~ARG1,NN,,AT-Head
of,I-ASP,_,_,_,_,,AT-Secondary
"""",I-ASP,_,_,_,_,,AT-Secondary
extra,I-ASP,_,_,_,JJ,,AT-Secondary
key,I-ASP,28~25,extra~configuration,ARG1~ARG1,JJ,,AT-Secondary
"""",I-ASP,_,_,_,_,,AT-Secondary
",",O,_,_,_,_,,O
etc,O,0,Since,conj,NN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,5~3,discover~disapointed,ARG1~ARG2,PRP,,O
was,O,_,_,_,_,,O
sorly,O,_,_,_,RB,so ##rly,O
disapointed,O,4~2,to~sorly,ARG1~ARG1,VBN,di ##sa ##point ##ed,O
to,O,4,to,ROOT,TO,,O
discover,O,4,to,ARG2,VB,,O
that,O,_,_,_,_,,O
HP,O,19,honor,ARG1,NNP,,O
(,O,_,_,_,_,,O
what,O,12,was,ARG1,WP,,O
I,O,11,thought,ARG1,PRP,,O
thought,O,_,_,_,VBD,,O
was,O,11,thought,ARG2,VBD,,O
a,O,_,_,_,DT,,O
reputable,O,_,_,_,JJ,rep ##utable,O
company,O,13~14~12,a~reputable~was,BV~ARG1~ARG2,NN,,O
),O,_,_,_,_,,O
would,O,18,n't,neg,MD,,O
n't,O,22,when,ARG1,VB,n ' t,O
honor,O,17,would,ARG1,VB,,O
the,O,_,_,_,DT,,O
warrenty,B-ASP,19~20,honor~the,ARG2~BV,NN,warren ##ty,AT-W\O-Path
when,O,5,discover,ARG2,WRB,,O
the,O,_,_,_,DT,,O
fan,B-ASP,_,_,_,NN,,AT-W\O-Path
blade,I-ASP,24~27~26~23,fan~apart~fell~the,compound~ARG1~ARG1~BV,NN,,AT-W\O-Path
fell,O,22,when,ARG2,VBD,,O
apart,O,26,fell,ARG2,RB,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
at,O,1,first,mwe,IN,,O
first,O,_,_,_,JJ,,O
!,O,_,_,_,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,DT,,O
Nortons,B-ASP,_,_,_,NNP,norton ##s,AT-W\O-Path
virus,I-ASP,_,_,_,NN,,AT-W\O-Path
