TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
But,O,3,was,cc,CC,
the,O,2,staff,det,DT,
staff,B-ASP,3,was,nsubj,NN,
was,O,3,was,ROOT,VBD,
so,O,5,horrible,advmod,RB,
horrible,B-OP,3,was,acomp,JJ,
to,O,5,horrible,prep,IN,
us,O,6,to,pobj,PRP,
.,O,3,was,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
To,O,1,be,aux,TO,
be,O,9,was,advcl,VB,
completely,O,3,fair,advmod,RB,
fair,O,1,be,acomp,JJ,
",",O,9,was,punct,",",
the,O,8,factor,det,DT,
only,O,8,factor,amod,JJ,
redeeming,B-OP,8,factor,amod,JJ,red ##eem ##ing
factor,O,9,was,nsubj,NN,
was,O,9,was,ROOT,VBD,
the,O,11,food,det,DT,
food,B-ASP,9,was,attr,NN,
",",O,11,food,punct,",",
which,O,14,was,nsubj,WDT,
was,O,11,food,relcl,VBD,
above,B-OP,14,was,prep,IN,
average,I-OP,15,above,amod,JJ,
",",O,14,was,punct,",",
but,O,14,was,cc,CC,
could,O,21,make,aux,MD,
n't,O,21,make,neg,RB,n ' t
make,O,14,was,conj,VB,
up,O,21,make,prt,RP,
for,O,21,make,prep,IN,
all,O,27,deficiencies,predet,PDT,
the,O,27,deficiencies,det,DT,
other,O,27,deficiencies,amod,JJ,
deficiencies,O,23,for,pobj,NNS,def ##iciencies
of,O,27,deficiencies,prep,IN,
Teodora,O,28,of,pobj,NNP,te ##od ##ora
.,O,9,was,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,1,food,det,DT,
food,B-ASP,2,is,nsubj,NN,
is,O,2,is,ROOT,VBZ,
uniformly,O,4,exceptional,advmod,RB,
exceptional,B-OP,2,is,acomp,JJ,
",",O,2,is,punct,",",
with,O,2,is,prep,IN,
a,O,10,kitchen,det,DT,
very,O,9,capable,advmod,RB,
capable,B-OP,10,kitchen,amod,JJ,
kitchen,B-ASP,6,with,pobj,NN,
which,O,14,whip,nsubj,WDT,
will,O,14,whip,aux,MD,
proudly,O,14,whip,advmod,RB,
whip,O,10,kitchen,relcl,VB,
up,O,14,whip,prt,RP,
whatever,O,18,feel,dobj,WDT,
you,O,18,feel,nsubj,PRP,
feel,O,14,whip,ccomp,VBP,
like,O,18,feel,prep,IN,
eating,O,19,like,pcomp,VBG,
",",O,2,is,punct,",",
whether,O,24,'s,mark,IN,
it,O,24,'s,nsubj,PRP,
's,O,2,is,advcl,VBZ,' s
on,O,24,'s,prep,IN,
the,O,27,menu,det,DT,
menu,B-ASP,25,on,pobj,NN,
or,O,24,'s,cc,CC,
not,O,24,'s,conj,RB,
.,O,2,is,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Where,O,2,personaly,advmod,WRB,
Gabriela,O,2,personaly,nsubj,NNP,gabriel ##a
personaly,O,3,greets,csubj,RB,personal ##y
greets,O,3,greets,ROOT,VBZ,greet ##s
you,O,3,greets,dobj,PRP,
and,O,3,greets,cc,CC,
recommends,O,3,greets,conj,VBZ,
you,O,6,recommends,dobj,PRP,
what,O,10,eat,dobj,WP,
to,O,10,eat,aux,TO,
eat,O,6,recommends,xcomp,VB,
.,O,3,greets,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
For,O,15,is,prep,IN,
those,O,0,For,pobj,DT,
that,O,3,go,nsubj,WDT,
go,O,1,those,relcl,VBP,
once,O,3,go,advmod,RB,
and,O,3,go,cc,CC,
do,O,8,enjoy,aux,VB,
n't,O,8,enjoy,neg,RB,n ' t
enjoy,B-OP,3,go,conj,VB,
it,O,8,enjoy,dobj,PRP,
",",O,15,is,punct,",",
all,O,15,is,nsubj,DT,
I,O,14,say,nsubj,PRP,
can,O,14,say,aux,MD,
