TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
I,O,2,going,ACT-arg,PRP,,O
'm,O,_,_,_,_,' m,O
going,O,2,going,ROOT,VBG,,O
back,O,2,going,DIR3-arg,RB,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
For,O,_,_,_,_,,O
the,O,_,_,_,_,,O
quality,B-ASP,2,quality,ROOT,NN,,AT-W\O-Path
of,I-ASP,_,_,_,_,,AT-W\O-Path
food,I-ASP,2,quality,APP,NN,,AT-W\O-Path
",",O,_,_,_,_,,O
a,O,_,_,_,_,,O
little,O,9,expensive,EXT,JJ,,O
too,O,9,expensive,EXT,RB,,O
expensive,B-OP,9,expensive,ROOT,JJ,,OT-W\O-Path
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,1,was,ACT-arg,PRP,,O
was,O,15~1,and~was,CONJ.member~ROOT,VBD,,O
the,O,_,_,_,_,,O
first,O,4,place,RSTR,JJ,,O
place,O,1,was,PAT-arg,NN,,O
we,O,6,ate,ACT-arg,PRP,,O
ate,O,4,place,RSTR,VBD,,O
on,O,_,_,_,_,,O
our,O,10,trip,APP,PRP$,,O
first,O,10,trip,RSTR,JJ,,O
trip,O,6,ate,LOC,NN,,O
to,O,_,_,_,_,,O
New,O,13,York,NE,NNP,,O
York,O,10,trip,DIR3,NNP,,O
",",O,_,_,_,_,,O
and,O,_,_,_,CC,,O
it,O,18,be,ACT-arg,PRP,,O
will,O,_,_,_,_,,O
be,O,15~18,and~be,CONJ.member~ROOT,VB,,O
the,O,_,_,_,_,,O
last,O,21,place,RSTR,JJ,,O
place,B-ASP,18,be,PAT-arg,NN,,AT-W\O-Path
we,O,23,stop,ACT-arg,PRP,,O
stop,O,21,place,RSTR,VBP,,O
as,O,_,_,_,_,,O
we,O,26,head,ACT-arg,PRP,,O
head,O,23,stop,TWHEN,VBP,,O
out,O,_,_,_,_,,O
of,O,_,_,_,_,,O
town,O,26,head,DIR3-arg,NN,,O
on,O,_,_,_,_,,O
our,O,33,trip,APP,PRP$,,O
next,O,33,trip,RSTR,JJ,,O
trip,O,26,head,DIR3-arg,NN,,O
to,O,_,_,_,_,,O
New,O,36,York,NE,NNP,,O
York,O,33,trip,DIR3,NNP,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,_,,O
food,B-ASP,2,was,ACT-arg,NN,,AT-Head
was,O,2,was,ROOT,VBD,,O
good,B-OP,2,was,PAT-arg,JJ,,"1###[""OT"", ""PAT-arg^-1"", ""*"", ""ACT-arg"", ""ASP""]"
too,O,2,was,RHEM,RB,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
My,O,1,friend,APP,PRP$,,O
friend,O,2,got,ACT-arg,NN,,O
got,O,2,got,ROOT,VBD,,O
the,O,_,_,_,_,,O
mushroom,B-ASP,5,pizza,RSTR,NN,,AT-Secondary
pizza,I-ASP,2,got,PAT-arg,NN,,AT-Head
which,O,7,tasted,ACT-arg,WDT,,O
tasted,O,5,pizza,RSTR,VBD,,O
better,B-OP,7,tasted,MANN,RBR,,"5###[""OT"", ""MANN^-1"", ""*"", ""RSTR^-1"", ""ASP""]"
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Our,O,2,time,APP,PRP$,,O
first,O,2,time,RSTR,JJ,,O
time,O,6~10,and~try,CONJ.member~ACT-arg,NN,,O
in,O,_,_,_,_,,O
New,O,5,York,NE,NNP,,O
York,O,2,time,LOC,NNP,,O
and,O,_,_,_,CC,,O
we,O,10,try,ACT-arg,PRP,,O
had,O,_,_,_,_,,O
to,O,_,_,_,_,,O
try,O,6~10,and~try,CONJ.member~ROOT,VB,,O
a,O,_,_,_,_,,O
New,B-ASP,13,York,NE,NNP,,AT-W\O-Path
York,I-ASP,14,Bagel,NE,NNP,,AT-W\O-Path
Bagel,I-ASP,10,try,PAT-arg,NNP,bag ##el,AT-W\O-Path
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
But,O,0,But,ROOT,CC,,O
$,O,1,$,ROOT,$,,O
500,O,1,$,RSTR,CD,,O
for,O,_,_,_,_,,O
a,O,_,_,_,_,,O
dinner,B-ASP,1,$,AIM,NN,,AT-W\O-Path
for,I-ASP,_,_,_,_,,AT-W\O-Path
two,I-ASP,5,dinner,BEN,CD,,AT-W\O-Path
that,O,11,include,ACT-arg,WDT,,O
did,O,_,_,_,_,,O
n't,O,11,include,RHEM,RB,n ' t,O
include,O,5,dinner,RSTR,VB,,O
Wine,O,11,include,PAT-arg,NNP,,O
?,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Quite,O,1,frankly,EXT,RB,,O
frankly,O,4,is,ATT,RB,,O
",",O,_,_,_,_,,O
this,O,4,is,ACT-arg,DT,,O
is,O,4,is,ROOT,VBZ,,O
some,O,4,is,PAT-arg,DT,,O
of,O,_,_,_,_,,O
the,O,_,_,_,_,,O
worst,B-OP,9,sushi,RSTR,JJS,,"9###[""OT"", ""RSTR^-1"", ""ASP""]"
sushi,B-ASP,5,some,DIR1,NN,su ##shi,AT-Head
I,O,13,tried,ACT-arg,PRP,,O
have,O,_,_,_,_,,O
ever,O,13,tried,TWHEN,RB,,O
tried,O,9,sushi,RSTR,VBN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Your,O,1,friends,APP,PRP$,,O
friends,O,3,thank,ACT-arg,NNS,,O
will,O,_,_,_,_,,O
thank,O,3,thank,ROOT,VB,,O
you,O,3~6,thank~introducing,ADDR-arg~ACT-arg,PRP,,O
for,O,_,_,_,_,,O
introducing,O,3,thank,PAT-arg,VBG,,O
them,O,6,introducing,PAT-arg,PRP,,O
to,O,_,_,_,_,,O
this,O,10,gem,RSTR,DT,,O
gem,O,6,introducing,ADDR-arg,NN,,O
!,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Very,O,1,cozy,EXT,RB,,O
cozy,O,2~1,and~cozy,CONJ.member~ROOT,JJ,,O
and,O,_,_,_,CC,,O
warm,O,2~3,and~warm,CONJ.member~ROOT,JJ,,O
inside,O,2~4,and~inside,CONJ.member~ROOT,RB,,O
.....,O,_,_,_,.,. . . . .,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Get,O,0,Get,ROOT,VB,,O
the,O,_,_,_,_,,O
tuna,B-ASP,0,Get,PAT-arg,NN,,AT-W\O-Path
of,I-ASP,_,_,_,_,,AT-W\O-Path
gari,I-ASP,2,tuna,APP,NN,ga ##ri,AT-W\O-Path
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,2,been,ACT-arg,PRP,,O
've,O,_,_,_,_,' ve,O
been,O,11~2,and~been,CONJ.member~ROOT,VBN,,O
to,O,_,_,_,_,,O
this,O,5,restaurant,RSTR,DT,,O
restaurant,O,2,been,DIR3-arg,NN,,O
more,O,2,been,THO,JJR,,O
than,O,_,_,_,_,,O
a,O,_,_,_,_,,O
dozen,O,6,more,CPR,NN,,O
times,O,2,been,THO,NNS,,O
and,O,_,_,_,CC,,O
when,O,_,_,_,_,,O
I,O,15,craving,ACT-arg,PRP,,O
'm,O,_,_,_,_,' m,O
craving,B-OP,29,is,TWHEN,VBG,,"17###[""OT"", ""PAT-arg"", ""ASP""]"
for,O,_,_,_,_,,O
Pho,B-ASP,22~15,or~craving,DISJ.member~PAT-arg,NNP,ph ##o,AT-Head
",",O,_,_,_,_,,O
Lemon,B-ASP,20,grass,RSTR,NNP,,AT-W\O-Path
grass,I-ASP,21,chicken,RSTR,NN,,AT-W\O-Path
