TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
The,O,1,food,det,_,,O
food,B-ASP,2,was,nsubj,_,,AT-Head
was,O,2,was,ROOT,_,,O
good,B-OP,2,was,acomp,_,,"1###[""OT"", ""acomp^-1"", ""*"", ""nsubj"", ""ASP""]"
",",O,2,was,punct,_,,O
the,O,7,prompt,det,_,,O
service,B-ASP,7,prompt,compound,_,,AT-W\O-Path
prompt,B-OP,1,food,appos,_,,"1###[""OT"", ""appos^-1"", ""ASP""]"
",",O,7,prompt,punct,_,,O
and,O,7,prompt,cc,_,,O
the,O,11,price,det,_,,O
price,B-ASP,7,prompt,conj,_,,AT-Head
very,O,13,reasonable,advmod,_,,O
reasonable,B-OP,11,price,amod,_,,"11###[""OT"", ""amod^-1"", ""ASP""]"
.,O,2,was,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,1,need,nsubj,_,,O
need,O,1,need,ROOT,_,,O
at,O,3,least,advmod,_,,O
least,O,4,three,advmod,_,,O
three,O,5,rolls,nummod,_,,O
rolls,B-ASP,7,be,nsubj,_,,AT-W\O-Path
to,O,7,be,aux,_,,O
be,O,1,need,ccomp,_,,O
full,O,7,be,acomp,_,,O
",",O,1,need,punct,_,,O
and,O,1,need,cc,_,,O
that,O,12,'s,nsubj,_,,O
's,O,1,need,conj,_,' s,O
at,O,14,least,advmod,_,,O
least,O,16,14.00,advmod,_,,O
$,O,16,14.00,quantmod,_,,O
14.00,O,12,'s,attr,_,14 . 00,O
!,O,12,'s,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Give,O,6,is,advcl,_,,O
it,O,0,Give,dative,_,,O
a,O,3,try,det,_,,O
try,O,0,Give,dobj,_,,O
",",O,6,is,punct,_,,O
menu,B-ASP,6,is,nsubj,_,,AT-W\O-Path
is,O,6,is,ROOT,_,,O
typical,O,8,French,amod,_,,O
French,O,6,is,attr,_,,O
but,O,8,French,cc,_,,O
varied,B-OP,8,French,conj,_,,OT-W\O-Path
.,O,6,is,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,1,was,nsubj,_,,O
was,O,1,was,ROOT,_,,O
like,O,5,forgot,mark,_,,O
the,O,4,servers,det,_,,O
servers,B-ASP,5,forgot,nsubj,_,,AT-Head
forgot,B-OP,1,was,advcl,_,,"4###[""OT"", ""nsubj"", ""ASP""]"
that,O,9,worked,mark,_,,O
they,O,9,worked,nsubj,_,,O
actually,O,9,worked,advmod,_,,O
worked,O,5,forgot,ccomp,_,,O
there,O,9,worked,advmod,_,,O
and,O,9,worked,cc,_,,O
instead,O,13,wanted,advmod,_,,O
wanted,O,9,worked,conj,_,,O
to,O,15,hang,aux,_,,O
hang,O,13,wanted,xcomp,_,,O
out,O,15,hang,prt,_,,O
and,O,15,hang,cc,_,,O
be,O,15,hang,conj,_,,O
cool,O,18,be,acomp,_,,O
.,O,1,was,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Our,O,1,food,poss,_,,O
food,B-ASP,2,was,nsubj,_,,AT-Head
was,O,2,was,ROOT,_,,O
great,B-OP,2,was,acomp,_,,"1###[""OT"", ""acomp^-1"", ""*"", ""nsubj"", ""ASP""]"
too,O,2,was,advmod,_,,O
!,O,2,was,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Out,O,11,is,prep,_,,O
of,O,0,Out,prep,_,,O
the,O,3,hundreds,det,_,,O
hundreds,O,1,of,pobj,_,,O
of,O,3,hundreds,prep,_,,O
Italian,O,6,restaurants,amod,_,,O
restaurants,O,4,of,pobj,_,,O
in,O,6,restaurants,prep,_,,O
Queens,O,7,in,pobj,_,,O
",",O,11,is,punct,_,,O
this,O,11,is,nsubj,_,,O
is,O,11,is,ROOT,_,,O
among,O,11,is,prep,_,,O
the,O,14,best,det,_,,O
best,B-OP,12,among,pobj,_,,OT-W\O-Path
.,O,11,is,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Not,O,3,place,neg,_,,O
a,O,3,place,det,_,,O
great,B-OP,3,place,amod,_,,"3###[""OT"", ""amod^-1"", ""ASP""]"
place,B-ASP,3,place,ROOT,_,,AT-Head
for,O,3,place,prep,_,,O
family,O,4,for,pobj,_,,O
or,O,5,family,cc,_,,O
general,O,8,dining,amod,_,,O
dining,O,5,family,conj,_,,O
.,O,3,place,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
No,O,2,snobs,det,_,,O
food,B-ASP,2,snobs,compound,_,,AT-W\O-Path
snobs,O,3,allowed,nsubj,_,s ##nob ##s,O
allowed,O,7,is,ccomp,_,,O
",",O,7,is,punct,_,,O
this,O,6,place,det,_,,O
place,O,7,is,nsubj,_,,O
is,O,7,is,ROOT,_,,O
for,O,7,is,prep,_,,O
people,O,8,for,pobj,_,,O
who,O,11,appreciate,nsubj,_,,O
appreciate,O,9,people,relcl,_,,O
good,B-OP,13,food,amod,_,,"13###[""OT"", ""amod^-1"", ""ASP""]"
food,B-ASP,11,appreciate,dobj,_,,AT-Head
.,O,7,is,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
But,O,9,find,cc,_,,O
for,O,9,find,prep,_,,O
the,O,4,Shabu,det,_,,O
Shabu,B-ASP,4,Shabu,compound,_,sha ##bu,AT-W\O-Path
Shabu,I-ASP,1,for,pobj,_,sha ##bu,AT-W\O-Path
",",O,9,find,punct,_,,O
you,O,9,find,nsubj,_,,O
wo,O,9,find,aux,_,,O
n't,O,9,find,neg,_,n ' t,O
find,O,9,find,ROOT,_,,O
much,O,11,better,advmod,_,,O
better,B-OP,9,find,advmod,_,,OT-W\O-Path
in,O,9,find,prep,_,,O
NY,O,12,in,pobj,_,,O
.,O,9,find,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
This,O,1,place,det,_,,O
place,O,2,has,nsubj,_,,O
has,O,2,has,ROOT,_,,O
the,O,6,style,det,_,,O
best,B-OP,6,style,amod,_,,"8###[""OT"", ""amod^-1"", ""*"", ""appos"", ""ASP""]"
Chinese,O,6,style,amod,_,,O
style,O,2,has,dobj,_,,O
BBQ,B-ASP,8,ribs,compound,_,bb ##q,AT-Secondary
ribs,I-ASP,6,style,appos,_,,AT-Head
in,O,8,ribs,prep,_,,O
the,O,11,city,det,_,,O
city,O,9,in,pobj,_,,O
.,O,2,has,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,1,food,det,_,,O
food,B-ASP,2,is,nsubj,_,,AT-Head
is,O,6,love,ccomp,_,,O
great,B-OP,2,is,acomp,_,,"1###[""OT"", ""acomp^-1"", ""*"", ""nsubj"", ""ASP""]"
",",O,6,love,punct,_,,O
I,O,6,love,nsubj,_,,O
love,B-OP,6,love,ROOT,_,,"8###[""OT"", ""dobj"", ""ASP""]"
their,O,8,dumplings,poss,_,,O
dumplings,B-ASP,6,love,dobj,_,dump ##lings,AT-Head
",",O,8,dumplings,punct,_,,O
cold,B-ASP,11,sesame,amod,_,,AT-W\O-Path
sesame,I-ASP,12,noodles,compound,_,,AT-W\O-Path
noodles,I-ASP,8,dumplings,conj,_,,AT-W\O-Path
",",O,12,noodles,punct,_,,O
chicken,B-ASP,12,noodles,conj,_,,AT-W\O-Path
and,O,14,chicken,cc,_,,O
shrimp,B-ASP,14,chicken,conj,_,,AT-W\O-Path
dishs,I-ASP,14,chicken,conj,_,dish ##s,AT-W\O-Path
.,O,6,love,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,1,service,det,_,,O
service,B-ASP,2,was,nsubj,_,,AT-Head
was,O,2,was,ROOT,_,,O
excellent,B-OP,5,friendly,amod,_,,OT-W\O-Path
-,O,5,friendly,punct,_,,O
friendly,B-OP,2,was,acomp,_,,"1###[""OT"", ""acomp^-1"", ""*"", ""nsubj"", ""ASP""]"
and,O,5,friendly,cc,_,,O
attentive,B-OP,5,friendly,conj,_,at ##ten ##tive,OT-W\O-Path
.,O,2,was,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Great,B-OP,11,was,advmod,_,,"10###[""OT"", ""advmod^-1"", ""*"", ""nsubj"", ""ASP""]"
for,O,0,Great,prep,_,,O
large,O,3,groups,amod,_,,O
groups,O,1,for,pobj,_,,O
and,O,3,groups,cc,_,,O
celebrations,O,3,groups,conj,_,,O
-,O,11,was,punct,_,,O
our,O,10,waiter,poss,_,,O
SUPER,O,10,waiter,amod,_,,O
HAPPY,B-OP,10,waiter,amod,_,,"10###[""OT"", ""amod^-1"", ""ASP""]"
waiter,B-ASP,11,was,nsubj,_,,AT-Head
was,O,11,was,ROOT,_,,O
the,O,13,entertainment,det,_,,O
entertainment,O,11,was,attr,_,,O
of,O,13,entertainment,prep,_,,O
the,O,16,evening,det,_,,O
evening,O,14,of,pobj,_,,O
.,O,11,was,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
This,O,1,place,det,_,,O
place,O,2,is,nsubj,_,,O
is,O,2,is,ROOT,_,,O
Italian,O,6,French,amod,_,,O
",",O,6,French,punct,_,,O
not,O,6,French,neg,_,,O
French,O,2,is,acomp,_,,O
.,O,2,is,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
came,O,0,came,ROOT,_,,O
here,O,0,came,advmod,_,,O
for,O,0,came,prep,_,,O
restaurant,O,4,week,compound,_,,O
week,O,2,for,pobj,_,,O
",",O,0,came,punct,_,,O
did,O,8,save,aux,_,,O
n't,O,8,save,neg,_,n ' t,O
save,O,0,came,dep,_,,O
much,O,8,save,dobj,_,,O
",",O,8,save,punct,_,,O
but,O,0,came,cc,_,,O
it,O,13,was,nsubj,_,,O
was,O,0,came,conj,_,,O
still,O,13,was,advmod,_,,O
great,B-OP,13,was,acomp,_,,OT-W\O-Path
.,O,13,was,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
We,O,1,ate,nsubj,_,,O
ate,O,1,ate,ROOT,_,,O
out,O,1,ate,prt,_,,O
in,O,1,ate,prep,_,,O
the,O,6,patio,det,_,,O
back,B-ASP,6,patio,amod,_,,AT-Secondary
patio,I-ASP,3,in,pobj,_,,AT-Head
",",O,6,patio,punct,_,,O
which,O,9,is,nsubj,_,,O
is,O,6,patio,relcl,_,,O
worth,B-OP,9,is,acomp,_,,"6###[""OT"", ""acomp^-1"", ""*"", ""relcl^-1"", ""ASP""]"
it,O,10,worth,npadvmod,_,,O
as,O,14,'s,mark,_,,O
it,O,14,'s,nsubj,_,,O
's,O,10,worth,advcl,_,' s,O
cool,B-OP,14,'s,acomp,_,,OT-W\O-Path
and,O,1,ate,cc,_,,O
the,O,18,music,det,_,,O
music,B-ASP,20,hear,nsubj,_,,AT-Head
